cve_ent,municipality,population,total_cases,case_rate,total_cases_last_60_days,case_rate_last_60_days,total_deaths,death_rate,total_deaths_last_60_days,death_rate_last_60_days
31001,Abala,7035,67,952.3809523809525,12,170.57569296375266,11,156.36105188343996,1,14.214641080312722
28001,Abasolo,12768,81,634.3984962406015,35,274.12280701754383,5,39.16040100250626,1,7.832080200501252
5001,Abasolo,1130,8,707.9646017699115,1,88.49557522123894,1,88.49557522123894,0,0.0
11001,Abasolo,95581,720,753.287787321748,17,17.78596164509683,96,100.43837164289975,1,1.0462330379468723
19001,Abasolo,2918,29,993.8313913639479,1,34.27004797806717,3,102.8101439342015,0,0.0
20001,Abejones,1033,13,1258.4704743465634,2,193.6108422071636,5,484.027105517909,0,0.0
7001,Acacoyagua,19856,22,110.79774375503627,2,10.07252215954875,4,20.1450443190975,0,0.0
21001,Acajete,69076,220,318.48977937344375,20,28.953616306676704,44,63.69795587468875,2,2.8953616306676704
30001,Acajete,9131,34,372.35790165370713,2,21.90340597962983,6,65.7102179388895,0,0.0
7002,Acala,34494,35,101.46692178349859,4,11.596219632399837,9,26.091494172899633,0,0.0
11002,Acambaro,118967,3526,2963.8471172678137,243,204.2583237368346,202,169.79498516395302,1,0.840569233484916
15001,Acambay de Ruiz Castañeda,69520,566,814.1542002301495,57,81.99079401611047,49,70.48331415420023,0,0.0
31002,Acanceh,17390,355,2041.4031052328926,182,1046.578493387004,48,276.02070155261646,4,23.001725129384702
7003,Acapetahua,31069,32,102.99655605265698,5,16.093211883227653,8,25.749139013164246,0,0.0
18001,Acaponeta,40422,687,1699.5695413388748,466,1152.8375637029342,70,173.1730245905695,14,34.634604918113894
12001,Acapulco de Juarez,840795,21728,2584.2208861850986,5192,617.5108082231698,2243,266.77132951551806,319,37.94028270862695
21002,Acateno,9700,16,164.94845360824743,1,10.309278350515465,6,61.85567010309278,0,0.0
12076,Acatepec,38738,27,69.69900356239351,14,36.140224069389234,3,7.744333729154835,0,0.0
14001,Acatic,23033,150,651.2395258976252,59,256.15421351973254,21,91.17353362566752,1,4.341596839317502
30002,Acatlan,3344,13,388.755980861244,2,59.80861244019138,6,179.42583732057417,0,0.0
13001,Acatlan,22119,162,732.4020073240201,15,67.81500067815,32,144.67200144672,2,9.04200009042
21003,Acatlan,37718,381,1010.1277904448805,26,68.93260512222281,73,193.54154515085636,1,2.6512540431624156
14002,Acatlan de Juarez,24131,227,940.6986863370768,74,306.6594836517343,36,149.18569474949237,1,4.144047076374788
20002,Acatlan de Perez Figueroa,47616,98,205.81317204301075,14,29.401881720430108,19,39.902553763440864,0,0.0
21004,Acatzingo,62477,179,286.5054339997119,10,16.00589016758167,29,46.41708148598684,0,0.0
13002,Acaxochitlan,46234,206,445.55954492364924,38,82.19059566552754,44,95.16805813903188,4,8.6516416490029
30003,Acayucan,91195,322,353.08953341740227,69,75.66204287515762,73,80.04824825922474,3,3.2896540380503314
15002,Acolman,186256,1674,898.7629928700284,196,105.23150932050511,179,96.10428657331845,8,4.2951636457349025
26001,Aconchi,3025,39,1289.2561983471073,4,132.2314049586777,6,198.34710743801654,0,0.0
21005,Acteopan,3132,8,255.4278416347382,0,0.0,4,127.7139208173691,0,0.0
13003,Actopan,61311,799,1303.1919231459283,151,246.28533215899267,170,277.2748772650911,18,29.35851641630376
30004,Actopan,45818,189,412.5016369112576,39,85.11938539438648,29,63.29390195992841,0,0.0
29022,Acuamanala de Miguel Hidalgo,6934,106,1528.6991635419672,9,129.79521199884627,12,173.06028266512837,0,0.0
16001,Acuitzio,12019,74,615.6918212829686,3,24.960479241201433,12,99.84191696480573,0,0.0
30005,Acula,5690,33,579.9648506151142,11,193.32161687170475,4,70.29876977152901,3,52.72407732864675
15003,Aculco,52173,208,398.6736434554271,27,51.750905640848714,32,61.33440668545033,0,0.0
30006,Acultzingo,23921,92,384.5993060490782,12,50.16512687596673,12,50.16512687596673,0,0.0
5002,Acuña,163157,3792,2324.1417775516834,441,270.29180482602646,399,244.5497281759287,9,5.516159282163805
13004,Agua Blanca de Iturbide,9705,65,669.7578567748584,11,113.34363730036064,7,72.1277691911386,1,10.303967027305513
30204,Agua Dulce,50680,309,609.7079715864246,40,78.92659826361484,97,191.397000789266,4,7.892659826361483
26002,Agua Prieta,88530,1351,1526.0363718513497,66,74.55099966113183,239,269.9649836213713,0,0.0
19002,Agualeguas,2599,114,4386.3024240092345,9,346.28703347441325,4,153.90534821085035,1,38.47633705271259
1001,Aguascalientes,961977,23938,2488.4170827369053,1855,192.83205315719604,2198,228.48779128814928,41,4.262056161425897
