cve_ent,state,population,total_cases,case_rate,total_cases_last_60_days,case_rate_last_60_days,total_deaths,death_rate,total_deaths_last_60_days,death_rate_last_60_days
1,AGUASCALIENTES,1434635,28746,2003.7152307032802,2046,142.6146720245916,2516,175.3756181885985,43,2.9972780533027565
2,BAJA CALIFORNIA,3634868,53646,1475.8720261643614,3460,95.18915129792883,8950,246.2262728660298,195,5.364706503785007
3,BAJA CALIFORNIA SUR,804708,51019,6340.063724978502,16314,2027.3192263529131,2069,257.1118964891613,580,72.07583371856623
4,CAMPECHE,1000617,15865,1585.521733090683,5095,509.18583234144535,1516,151.50652047686577,247,24.684769497220213
7,CHIAPAS,5730367,16679,291.0633821533595,4806,83.86897383710328,1839,32.092185369628154,178,3.106258290263084
8,CHIHUAHUA,3801487,61158,1608.7915071128746,3540,93.12145484122398,7689,202.2629565746246,122,3.209270477578906
5,COAHUILA,3218720,75379,2341.8936720186907,6121,190.1687627379828,6592,204.80190883332503,117,3.634985335785654
6,COLIMA,785153,18909,2408.3204165302814,6754,860.214505962532,1321,168.24746259646207,111,14.137371951708776
9,DISTRITO FEDERAL,9018645,822336,9118.176843638928,151397,1678.7111589379556,36290,402.3886071577271,1584,17.563614046234218
10,DURANGO,1868996,39510,2113.969211277071,4987,266.8277513702544,2579,137.98852432000925,68,3.638317042947122
11,GUANAJUATO,6228175,142325,2285.1798480293182,9699,155.72780148277786,11225,180.22936092836184,113,1.8143356601251572
12,GUERRERO,3657048,57502,1572.3610956159175,15974,436.80039201016774,5019,137.2418409602499,471,12.879240305295419
13,HIDALGO,3086414,47258,1531.1620540860688,7971,258.2608813982829,6557,212.44719600157333,277,8.974816729058384
14,JALISCO,8409693,114281,1358.9199986253957,26336,313.1624424339866,13517,160.73119434918732,827,9.833890488035651
15,MEXICO,17427790,306703,1759.850216235105,50435,289.3941228348517,38949,223.4878891701128,1507,8.647109013822178
16,MICHOACAN,4825401,56992,1181.0831887339518,7907,163.86202929041545,6319,130.9528472348723,326,6.755915207875988
17,MORELOS,2044058,38423,1879.7411815124622,3465,169.51573781174505,3691,180.57217554492095,71,3.4734826506879943
18,NAYARIT,1288571,22784,1768.1602333127162,10361,804.069003570622,2144,166.38586465161796,279,21.651891901959612
19,NUEVO LEON,5610153,152494,2718.1789872753916,26860,478.7748212927526,10391,185.21776500569592,506,9.019361860541059
20,OAXACA,4143593,58348,1408.1498834465644,10437,251.88284660197078,4245,102.44732047766274,261,6.298881188379265
21,PUEBLA,6604451,94890,1436.7583316160571,8950,135.5146703336886,12620,191.08325582247485,325,4.920923783066905
22,QUERETARO,2279637,76190,3342.1987798934656,7672,336.5448095464322,4645,203.76051099363625,127,5.571062410374985
23,QUINTANA ROO,1723259,47155,2736.384954322014,17526,1017.0264597486506,3428,198.92540819458944,524,30.407501135929074
24,SAN LUIS POTOSI,2866142,76002,2651.717884180198,11007,384.03540368900076,5569,194.3030038288403,128,4.465933648786418
25,SINALOA,3156674,61463,1947.0810099490793,21057,667.0628642678971,7267,230.21065843352847,845,26.76868121320098
26,SONORA,3074745,92285,3001.3871068982958,15246,495.84599698511585,7163,232.9624082647504,401,13.041731915980025
27,TABASCO,2572287,93138,3620.824581393911,21353,830.1173236112456,4517,175.6024891468176,301,11.70164915501264
28,TAMAULIPAS,3650602,76313,2090.4223467800653,14201,389.0043340796943,5589,153.09803698129787,406,11.121453393166387
29,TLAXCALA,1380011,22202,1608.8277557207878,2091,151.5205313580834,2622,189.9984855193183,19,1.3768006197052054
30,VERACRUZ,8539862,86926,1017.885300722658,23676,277.2410139648627,11014,128.97163912016376,745,8.723794365763757
31,YUCATAN,2259098,56275,2491.0384587122826,13489,597.0967173624164,4661,206.32128398148288,584,25.85102549778717
32,ZACATECAS,1666426,34689,2081.640588901037,3715,222.9321914084394,2963,177.80567513949015,62,3.7205372455782615
