cve_ent,state_conacyt,state_inegi
1,AGUASCALIENTES,AGUASCALIENTES
2,BAJA CALIFORNIA,BAJA CALIFORNIA
3,BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR
4,CAMPECHE,CAMPECHE
5,COAHUILA,COAHUILA DE ZARAGOZA
6,COLIMA,COLIMA
7,CHIAPAS,CHIAPAS
8,CHIHUAHUA,CHIHUAHUA
9,DISTRITO FEDERAL,CIUDAD DE MEXICO
10,DURANGO,DURANGO
11,GUANAJUATO,GUANAJUATO
12,GUERRERO,GUERRERO
13,HIDALGO,HIDALGO
14,JALISCO,JALISCO
15,MEXICO,MEXICO
16,MICHOACAN,MICHOACAN DE OCAMPO
17,MORELOS,MORELOS
18,NAYARIT,NAYARIT
19,NUEVO LEON,NUEVO LEON
20,OAXACA,OAXACA
21,PUEBLA,PUEBLA
22,QUERETARO,QUERETARO
23,QUINTANA ROO,QUINTANA ROO
24,SAN LUIS POTOSI,SAN LUIS POTOSI
25,SINALOA,SINALOA
26,SONORA,SONORA
27,TABASCO,TABASCO
28,TAMAULIPAS,TAMAULIPAS
29,TLAXCALA,TLAXCALA
30,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE
31,YUCATAN,YUCATAN
32,ZACATECAS,ZACATECAS
