cve_ent,state,pct_read_write,pct_not_read_write
1,AGUASCALIENTES,92.11251268667536,7.57788979010482
2,BAJA CALIFORNIA,89.67869670560155,9.511626225002711
3,BAJA CALIFORNIA SUR,88.91767035142716,10.542814717043392
4,CAMPECHE,89.28804657909028,10.28300784337987
5,COAHUILA,91.55980510919932,8.02885930471946
6,COLIMA,89.68280161349468,9.917491749174918
7,CHIAPAS,80.80168560014543,18.89839317928614
8,CHIHUAHUA,90.042903384714,9.41897192103868
9,DISTRITO FEDERAL,92.83959346834106,6.517517064524644
10,DURANGO,90.20085759422253,9.42354192861979
11,GUANAJUATO,89.97672147771368,9.439842140933113
12,GUERRERO,85.72497319620379,13.920819600524162
13,HIDALGO,91.82417222117817,7.827762828022728
14,JALISCO,90.28314712826992,9.195468341515795
15,MEXICO,92.0803581913009,6.983240114492009
16,MICHOACAN,87.6709729123257,11.916012181439333
17,MORELOS,91.14296605891181,8.365243611362006
18,NAYARIT,89.19249990239332,10.480517705852495
19,NUEVO LEON,91.70846846803383,7.643970469575244
20,OAXACA,88.59370402227302,11.042576789877543
21,PUEBLA,90.11878225289321,9.450207593662356
22,QUERETARO,91.6135937767764,7.898425933469492
23,QUINTANA ROO,89.06351782738727,10.28039401279066
24,SAN LUIS POTOSI,91.37803863718398,8.06237907664439
25,SINALOA,91.67833046613309,7.930372533810575
26,SONORA,89.41985579103503,10.097037603440683
27,TABASCO,89.09556738470724,10.52236207153873
28,TAMAULIPAS,91.06019533806948,8.476052410661124
29,TLAXCALA,91.64862965565706,7.9053642539236355
30,VERACRUZ,88.92300937819284,10.752279263193286
31,YUCATAN,89.91921841891273,9.727918613002213
32,ZACATECAS,91.27570460428726,8.390899043076118
