cve_ent,state,0 a 4 años,5 a 9 años,10 a 14 años,15 a 19 años,20 a 24 años,25 a 29 años,30 a 34 años,35 a 39 años,40 a 44 años,45 a 49 años,50 a 54 años,55 a 59 años,60 a 64 años,65 a 69 años,70 a 74 años,75 a 79 años,80 a 84 años,85 a 89 años,90 a 94 años,95 a 99 años,100 años y más
1,AGUASCALIENTES,124430.0,131048.0,129717.0,131967.0,127020.0,118426.0,106825.0,99257.0,92378.0,84669.0,74121.0,58865.0,48306.0,35823.0,25586.0,16581.0,10186.0,5576.0,2410.0,796.0,112.0
2,BAJA CALIFORNIA,266301.0,299654.0,312348.0,315639.0,340359.0,328244.0,302389.0,292069.0,273611.0,260844.0,221388.0,168653.0,134022.0,94704.0,65425.0,40874.0,25204.0,12451.0,4858.0,1512.0,252.0
3,BAJA CALIFORNIA SUR,62455.0,66933.0,67665.0,65469.0,66743.0,68798.0,67779.0,64927.0,59389.0,51771.0,43337.0,33731.0,27095.0,19274.0,12545.0,8166.0,4649.0,2556.0,936.0,332.0,55.0
4,CAMPECHE,78935.0,82015.0,80168.0,76140.0,75556.0,72798.0,72709.0,70275.0,64170.0,57628.0,50254.0,40805.0,32778.0,25796.0,17559.0,11916.0,7536.0,4413.0,1768.0,701.0,149.0
7,CHIAPAS,574152.0,612792.0,583132.0,526577.0,464523.0,424403.0,396045.0,372863.0,329204.0,284333.0,243848.0,196355.0,158726.0,125777.0,85855.0,63158.0,38245.0,21839.0,8853.0,3855.0,1449.0
8,CHIHUAHUA,291286.0,317322.0,333715.0,326333.0,314067.0,298299.0,275644.0,263669.0,251983.0,248522.0,219930.0,173639.0,140861.0,100944.0,74018.0,50265.0,31387.0,15250.0,5376.0,1477.0,243.0
5,COAHUILA DE ZARAGOZA,279912.0,276224.0,268144.0,269284.0,264313.0,245917.0,224329.0,219634.0,218687.0,205202.0,178214.0,142215.0,118950.0,84422.0,61684.0,39801.0,24851.0,12495.0,4712.0,1408.0,214.0
6,COLIMA,52313.0,60049.0,60801.0,60663.0,59343.0,58035.0,57436.0,54566.0,51179.0,47133.0,41541.0,34819.0,29795.0,22071.0,16086.0,10803.0,6859.0,3623.0,1571.0,601.0,148.0
9,CIUDAD DE MEXICO,479904.0,563907.0,608962.0,650389.0,714605.0,752289.0,743611.0,705850.0,670307.0,668945.0,623483.0,526447.0,469514.0,356196.0,267744.0,175215.0,117480.0,66316.0,28780.0,9066.0,1308.0
10,DURANGO,167600.0,176033.0,170271.0,162990.0,153588.0,141107.0,129526.0,118830.0,114976.0,108070.0,97009.0,79997.0,66536.0,49727.0,36956.0,25689.0,17026.0,9042.0,3333.0,1012.0,157.0
11,GUANAJUATO,538846.0,547545.0,549301.0,552092.0,540587.0,501868.0,462332.0,439045.0,407230.0,365660.0,318197.0,250808.0,214406.0,161765.0,118285.0,81110.0,54366.0,31747.0,14003.0,5009.0,683.0
12,GUERRERO,335458.0,351010.0,348493.0,326540.0,281967.0,256191.0,237976.0,222157.0,209120.0,190778.0,174072.0,148972.0,126765.0,104196.0,77444.0,58071.0,39210.0,23532.0,9187.0,3950.0,1179.0
13,HIDALGO,238189.0,269553.0,283676.0,272506.0,238187.0,231124.0,224226.0,221410.0,211048.0,194567.0,171679.0,139795.0,118929.0,93011.0,66179.0,47263.0,29997.0,17421.0,7213.0,3020.0,642.0
14,JALISCO,670983.0,718100.0,714906.0,716259.0,704359.0,668334.0,639006.0,602903.0,549859.0,511537.0,444689.0,357080.0,313011.0,240553.0,181420.0,120885.0,76495.0,41507.0,17725.0,6381.0,1108.0
15,MEXICO,1276386.0,1381132.0,1464549.0,1476665.0,1415159.0,1367527.0,1283264.0,1254296.0,1197089.0,1145882.0,1007077.0,795711.0,661100.0,475398.0,330905.0,212562.0,130480.0,71307.0,26950.0,9294.0,1458.0
16,MICHOACAN DE OCAMPO,429837.0,441618.0,426869.0,407743.0,390431.0,367568.0,345272.0,318438.0,299299.0,270544.0,243599.0,202399.0,178844.0,140009.0,106332.0,74938.0,51154.0,30976.0,13255.0,5246.0,945.0
17,MORELOS,145439.0,158935.0,164177.0,166654.0,162146.0,154595.0,143404.0,135994.0,130539.0,124378.0,114284.0,96124.0,84475.0,65650.0,47846.0,33189.0,21954.0,13278.0,5327.0,1844.0,340.0
18,NAYARIT,103601.0,113942.0,113335.0,104256.0,97500.0,92542.0,90577.0,85180.0,81357.0,75138.0,64958.0,54507.0,47698.0,37876.0,27774.0,19910.0,13039.0,7093.0,2773.0,996.0,236.0
19,NUEVO LEON,454909.0,463819.0,462720.0,471896.0,503826.0,488349.0,448470.0,426619.0,409490.0,387678.0,334439.0,260045.0,217238.0,154408.0,115822.0,77327.0,50350.0,25023.0,10365.0,3097.0,420.0
20,OAXACA,359853.0,388759.0,398362.0,358708.0,310307.0,307124.0,289279.0,276496.0,259478.0,233971.0,210438.0,179408.0,155780.0,127194.0,93692.0,73118.0,50714.0,31435.0,12630.0,4898.0,1116.0
21,PUEBLA,578779.0,598550.0,603375.0,607200.0,570646.0,528289.0,475854.0,457864.0,425089.0,382865.0,334597.0,269080.0,229364.0,177876.0,128374.0,91494.0,60354.0,36491.0,14770.0,5631.0,1065.0
