cve_ent,municipality,case_rate,case_rate_last_60_days,death_rate,death_rate_last_60_days,population,pct_disability,pct_limitation,pct_mental_problem,pct_no_problems,average_years_finish,pct_no_med_insurance,pct_med_insurance,average_household_size,pct_household_tics,pct_household_no_tics,pct_pop_0_14_years_old,pct_pop_15_64_years_old,pct_pop_65_more_years_old
1001,Aguascalientes,2474.175578002385,181.29331574455523,222.7703988764804,7.484586429821087,961977,4.940346806628433,12.13178693461486,1.4496188578313203,80.8121192086713,10.84,18.004484514702533,80.4970389104937,3.54,99.72598939942574,0.27401060057426024,25.009225792300647,66.48100734217138,7.062642869839923
1002,Asientos,929.9307958477508,17.694243472790184,70.77697389116074,1.9660270525322427,50864,5.673954073608053,8.947389116074238,1.360490720352312,85.92914438502673,8.54,14.922145328719724,86.35184020132117,4.1,98.58874182745974,1.4112581725402646,31.97939603648946,62.75361748977666,6.548836111984901
1003,Calvillo,1682.0276497695852,65.83278472679395,42.79131007241607,0.0,60760,6.728110599078341,11.125740618828177,1.9601711652402896,77.08031599736668,8.05,19.47333772218565,76.31665569453588,3.74,99.11231184870705,0.8876881512929371,27.518104015799867,59.009216589861744,9.284068466096116
1004,Cosio,786.1449343894078,23.643456673365648,70.93037002009693,0.0,16918,4.758245655514836,11.425700437403949,1.2176380186783309,83.73330180872443,9.08,13.872798203097291,86.60007093037002,4.32,98.72999745999492,1.27000254000508,30.636008984513534,63.24033573708476,6.608346140205698
1005,Jesus Maria,642.9361519080686,44.552325938671416,47.624900141338415,0.7681435506667486,130184,3.868370921157746,9.143980827136975,1.2612917101948011,86.04820868923984,10.22,20.96955078965157,78.67940760769373,3.91,99.55440476907327,0.4455952309267176,29.42220242118847,65.25302648558963,5.022122534259203
1006,Pabellon de Arteaga,1750.879437160217,23.98464982411257,119.92324912056284,1.9987208186760477,50032,5.244643428205948,11.658538535337385,1.1132874960025585,77.7782219379597,9.77,17.704669011832426,77.41645346977934,4.15,99.4413407821229,0.5586592178770949,28.261912376079305,60.94299648225135,5.950191877198593
1007,Rincon de Romos,1243.5108052637931,36.21876131836292,96.58336351563445,6.8988116796881735,57981,5.7311878029009495,11.536537831358547,1.193494420586054,80.92823511150205,9.6,19.652989772511685,79.00001724702919,4.22,99.09372236958444,0.9062776304155614,30.532415791379936,61.96167710111933,6.172711750400993
1008,San Jose de Gracia,1262.8092329986544,20.701790704895974,72.4562674671359,0.0,9661,5.889659455542905,11.748266225028466,1.1075458027119347,80.76803643515163,9.24,12.928268295207534,85.91243142531829,4.01,98.48803023939521,1.5119697606047877,31.39426560397474,60.42852706759134,7.04895973501708
1009,Tepezala,1138.8119421360418,8.793914611089127,70.35131688871301,0.0,22743,4.673965615793871,9.088510750560612,1.0816514971639626,84.29846546190036,8.56,14.764982632018645,83.84118190212374,4.14,98.96717078568794,1.0328292143120619,30.154333201424617,61.58818097876269,6.885635140482786
1010,El Llano,314.3937668018408,13.669294208775687,68.34647104387844,13.669294208775687,21947,5.198888230737686,11.892285961634848,1.0251970656581766,77.39554381008794,8.49,19.98906456463298,74.23338041645783,3.91,98.21497120921305,1.785028790786948,28.473139836879756,60.1950152640452,6.342552512871919
1011,San Francisco de los Romo,527.4588892336333,34.90536766987279,44.60130313372635,0.0,51568,4.332143965249767,10.267995656220911,1.2914986037852931,104.75100837728823,9.21,20.504964318957494,99.29995345950977,3.78,99.42027216696162,0.5797278330383842,39.08819422897921,76.41948495190816,4.4717654359292585
2001,Ensenada,1800.265973816687,113.96213323684168,238.742275848048,3.5438306571194627,536143,3.7987999470290577,8.668209787314206,1.1551022768179386,69.59206778788494,10.34,14.512546093113219,67.88133016751128,3.15,98.92098677154094,1.0790132284590632,19.33700523927385,56.79454921541455,6.569142933881446
2002,Mexicali,1971.8100044322732,117.7954864374268,297.2014146493078,8.919720674809053,1087478,4.093783966204374,9.521020195351078,1.390005131138285,82.02860195792466,10.53,17.53286043487776,78.58853236571223,3.16,99.17967283778711,0.8203271622128855,21.551424488587358,67.50306672870624,7.410448763101414
2003,Tecate,1476.4133957508102,80.80311267642745,207.2775499090965,2.6348841090139388,113857,3.604521461131068,9.331881219424364,1.4772916904538147,81.17902280931344,9.79,17.3155800697366,73.51063175737987,3.3,98.87925497752087,1.1207450224791264,22.53440719499021,65.84487558955531,6.653960669963199
2004,Tijuana,1087.9945639388195,70.29774840447023,211.5079314077264,2.905789282219754,1789531,3.9806519138254663,9.852972650375992,1.4840759953306202,92.21835218277862,10.18,26.896767924109728,79.71490854307636,3.31,99.33259118999564,0.6674088100043696,25.098587283483774,75.99063665284368,6.001907762424904
2005,Playas de Rosarito,1109.7822156704588,100.13072622590605,107.54781705745464,1.8542727078871488,107859,4.99819208410981,11.2832494274933,1.5900388470132303,99.63378114019228,9.58,33.05055674538055,83.63882476195774,3.31,99.05009315384817,0.9499068461518276,27.18920071574927,81.03264447102235,8.835609453082265
3001,Comondu,4092.66595224621,1426.834113978158,199.87718389905,3.6122382632358434,83051,5.454479777486123,11.040204211869815,1.1715692767094916,70.84321681858135,9.27,10.299695367906466,77.50779641425149,3.26,98.39305005401512,1.6069499459848757,21.44706264825228,58.661545315529004,7.765108186535984
3002,Mulege,3865.518921552704,403.0888714988114,181.61146957638755,17.718192153793908,67727,4.91679832267781,11.558167348324892,1.216649194560515,77.36353300751546,9.13,14.16126507891978,80.13347704755857,3.24,97.80950417482734,2.190495825172663,25.099295701861884,62.682534292084405,6.585261417160069
3003,La Paz,7014.482002642726,1747.9078424034892,220.5582840168101,13.577912379413236,301961,5.09834051417236,12.60162736247396,1.4505184444348773,78.06736631551757,11.07,13.631230523147028,82.65670069975924,3.18,99.23976031636487,0.7602396836351287,21.260030268809547,67.23749093425972,7.984143647689603
3008,Los Cabos,6547.446051006321,2851.5464167211608,150.1610598464482,16.953668047179637,330312,3.3961830027368065,9.897914698830197,1.2127927535178862,91.34424422969798,10.17,20.461260868512195,84.84523723025504,3.44,98.96992171405027,1.0300782859497322,28.310506430284093,73.45297779069486,3.696202378357432
3009,Loreto,8819.319388650321,2705.8225977743914,161.61056471348755,4.617444706099644,21657,4.2018746825506765,11.497437318188116,1.1081867294639147,67.09608902433393,9.99,10.980283511104954,72.18913053516184,3.18,98.54325812755374,1.4567418724462604,20.926259408043588,56.388234750888856,5.938033892044143
4001,Calkini,570.3181775095579,131.12578596480142,83.73092356788524,0.0,63298,4.668393946096243,10.848684002654112,1.1864513886694683,77.3136591993428,9.4,16.796739233467093,76.6090555783753,3.87,95.17236867926997,4.827631320730032,24.365698758254606,60.674902840532084,8.390470473000727
4002,Campeche,2222.894299107818,742.5399465698877,162.24356066333988,7.5608649629517615,317424,5.988835122738041,13.443217904128232,1.4340440546398507,72.45639901204697,10.72,17.958629467211047,74.45498765058723,3.44,98.63418408619295,1.3658159138070507,21.129782247089064,63.37958062402339,7.9694667069912795
4003,Carmen,1735.8917953520788,467.5509478070844,165.1674543883722,6.534097096682856,275478,4.576772010832081,10.417891809872295,1.0552566811142814,73.53472872606886,10.26,20.909110709385143,67.9027000341225,3.44,97.65861236718727,2.341387632812717,22.128082823310756,61.38602719636413,5.565598704796753
4004,Champoton,678.3731052078643,315.17334533993693,74.04072239731853,1.0005503026664666,99945,4.097253489419181,8.307569163039672,1.0235629596277953,65.28690779928961,8.12,18.834358897393567,59.30861974085747,3.64,94.7508150908244,5.249184909175594,22.36730201610886,50.01550852969133,5.78218019910951
